,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Norman Wells,CA,65.282,-126.8329,-3.96,71,20,5.75,few clouds
129,Encruzilhada Do Sul,BR,-30.5439,-52.5219,67.42,48,12,7.0,few clouds
130,Kampene,CD,-3.6,26.6667,71.22,88,100,1.86,overcast clouds
131,Herat,AF,34.5,62.0,57.31,45,0,14.74,clear sky
132,Verkhnyaya Inta,RU,65.9811,60.3094,16.75,96,100,5.7,overcast clouds
133,Cidreira,BR,-30.1811,-50.2056,68.14,57,99,4.88,overcast clouds
134,Celestun,MX,20.8667,-90.4,88.29,51,50,2.8,scattered clouds
135,Upernavik,GL,72.7868,-56.1549,-4.85,87,59,16.84,broken clouds
136,Geraldton,AU,-28.7667,114.6,68.41,73,90,14.97,overcast clouds
137,Verkhnetulomskiy,RU,68.6073,31.7962,41.13,75,96,8.77,overcast clouds
138,Qaanaaq,GL,77.484,-69.3632,-8.86,74,77,8.05,broken clouds
139,Buzmeyin,TM,38.0507,58.2056,66.43,44,78,2.51,broken clouds
140,Laranjeiras Do Sul,BR,-25.4078,-52.4161,69.53,43,0,3.0,clear sky
141,Yanliang,CN,34.6592,109.2292,49.19,62,100,3.04,overcast clouds
142,Dunedin,NZ,-45.8742,170.5036,49.8,66,18,3.0,few clouds
143,Otautau,NZ,-46.15,168.0,41.45,93,83,1.52,broken clouds
144,Clyde River,CA,70.4692,-68.5914,-5.57,84,100,2.3,mist
145,Port Hedland,AU,-20.3167,118.5667,80.65,65,7,8.05,clear sky
146,Fairbanks,US,64.8378,-147.7164,21.54,48,0,10.36,clear sky
147,Kenitra,MA,34.261,-6.5802,75.96,47,0,12.95,clear sky
148,Saint George,US,37.1041,-113.5841,71.26,23,0,8.05,clear sky
149,Tabou,CI,4.423,-7.3528,82.67,73,99,8.14,overcast clouds
150,Calama,CL,-22.4667,-68.9333,68.49,9,0,16.11,clear sky
151,Georgetown,MY,5.4112,100.3354,84.13,87,20,5.01,few clouds
152,Lipin Bor,RU,60.2622,37.9763,27.9,90,94,3.69,overcast clouds
153,Caravelas,BR,-17.7125,-39.2481,79.05,67,100,11.86,overcast clouds
154,Airai,TL,-8.9266,125.4092,59.79,95,93,2.55,overcast clouds
155,Siderno,IT,38.2779,16.302,59.54,68,71,5.55,broken clouds
156,Coihaique,CL,-45.5752,-72.0662,54.21,59,50,2.35,scattered clouds
157,Senneterre,CA,48.3835,-77.2328,30.97,65,100,8.77,overcast clouds
158,Angoche,MZ,-16.2325,39.9086,80.85,80,2,9.66,light rain
159,Gillette,US,44.2911,-105.5022,36.1,62,0,11.99,clear sky
160,Karlstad,SE,59.3793,13.5036,57.76,33,46,9.22,scattered clouds
161,Isangel,VU,-19.55,169.2667,79.12,83,30,5.44,scattered clouds
162,Sangar,RU,63.9242,127.4739,-1.55,99,91,1.9,overcast clouds
163,Hovd,MN,48.0056,91.6419,42.08,15,0,2.98,clear sky
164,Cockburn Town,TC,21.4612,-71.1419,77.5,80,99,22.12,overcast clouds
165,Haines Junction,CA,60.7522,-137.5108,19.35,68,100,0.0,overcast clouds
166,Hirara,JP,24.8,125.2833,70.16,63,93,16.93,overcast clouds
167,Ketchikan,US,55.3422,-131.6461,37.38,69,0,0.0,clear sky
168,Katsuura,JP,35.1333,140.3,52.74,71,89,10.49,overcast clouds
169,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,83.73,43,1,5.12,clear sky
170,Gogrial,SS,8.5332,28.1004,93.29,30,86,7.81,overcast clouds
